Mouse Cage ,Mouse Number,Tag,Strain,Diet,Week,PercBWincrease,BW_Average,Food_Mass,Food_Avg,Ingest_bymouse,Glucose,Trig,NEFA,BCAA,Insulin
17,55,NT,A/J,Mediterranean,1,29.8,27.4375,98.4,22.525,0.107981783,,,,,
17,56,RE,A/J,Mediterranean,1,28,27.4375,98.4,22.525,0.114923469,,,,,
17,57,LE,A/J,Mediterranean,1,24.6,27.4375,98.4,22.525,0.130807201,,,,,
17,58,RLE,A/J,Mediterranean,1,29,27.4375,98.4,22.525,0.110960591,,,,,
18,59,NT,A/J,Mediterranean,1,27.8,27.4375,81.8,22.525,0.115750257,,,,,
18,60,RE,A/J,Mediterranean,1,27.4,27.4375,81.8,22.525,0.117440042,,,,,
18,61,LE,A/J,Mediterranean,1,25.2,27.4375,81.8,22.525,0.127692744,,,,,
18,62,RLE,A/J,Mediterranean,1,27.7,27.4375,81.8,22.525,0.116168128,,,,,
19,63,NT,A/J,Vegetarian,1,24.9,26.05,86.3,20.0875,0.115246701,,,,,
19,64,RE,A/J,Vegetarian,1,26,26.05,86.3,20.0875,0.110370879,,,,,
19,65,LE,A/J,Vegetarian,1,29.4,26.05,86.3,20.0875,0.0976069,,,,,
19,66,RLE,A/J,Vegetarian,1,24.3,26.05,86.3,20.0875,0.118092299,,,,,
20,67,NT,A/J,Vegetarian,1,29,26.05,74.4,20.0875,0.098953202,,,,,
20,68,RE,A/J,Vegetarian,1,24.8,26.05,74.4,20.0875,0.115711406,,,,,
20,69,LE,A/J,Vegetarian,1,24.3,26.05,74.4,20.0875,0.118092299,,,,,
20,70,RLE,A/J,Vegetarian,1,25.7,26.05,74.4,20.0875,0.111659255,,,,,
21,71,NT,A/J,Vegan,1,25.2,25.9875,95.2,21.4125,0.121386054,,,,,
21,72,RE,A/J,Vegan,1,26.4,25.9875,95.2,21.4125,0.115868506,,,,,
21,73,LE,A/J,Vegan,1,28.8,25.9875,95.2,21.4125,0.106212798,,,,,
21,74,RLE,A/J,Vegan,1,28.2,25.9875,95.2,21.4125,0.108472644,,,,,
22,75,NT,A/J,Vegan,1,24.5,25.9875,76.1,21.4125,0.124854227,,,,,
22,76,RE,A/J,Vegan,1,26.9,25.9875,76.1,21.4125,0.113714817,,,,,
22,77,LE,A/J,Vegan,1,25.7,25.9875,76.1,21.4125,0.119024458,,,,,
22,78,RLE,A/J,Vegan,1,22.2,25.9875,76.1,21.4125,0.137789575,,,,,
23,79,NT,DBA/2J,Chow,1,31.2,29.88571429,88.8,30.4857143,0.139586604,,,,,
23,80,RE,DBA/2J,Chow,1,28.5,29.88571429,88.8,30.4857143,0.152810598,,,,,
23,81,LE,DBA/2J,Chow,1,29.3,29.88571429,88.8,30.4857143,0.148638295,,,,,
24,82,NT,DBA/2J,Chow,1,32.9,29.88571429,124.6,30.4857143,0.132373922,,,,,
24,83,RE,DBA/2J,Chow,1,23,29.88571429,124.6,30.4857143,0.189352263,,,,,
24,84,LE,DBA/2J,Chow,1,35.5,29.88571429,124.6,30.4857143,0.122678931,,,,,
24,85,RLE,DBA/2J,Chow,1,28.8,29.88571429,124.6,30.4857143,0.151218821,,,,,
25,86,NT,DBA/2J,American,1,36.8,35.2875,122.3,32.475,0.126067547,,,,,
25,87,RE,DBA/2J,American,1,37.9,35.2875,122.3,32.475,0.122408594,,,,,
25,88,LE,DBA/2J,American,1,37.2,35.2875,122.3,32.475,0.124711982,,,,,
25,89,RLE,DBA/2J,American,1,31.7,35.2875,122.3,32.475,0.146349707,,,,,
26,90,NT,DBA/2J,American,1,36.3,35.2875,67.4,32.475,0.127804014,,,,,
26,91,RE,DBA/2J,American,1,33.8,35.2875,67.4,32.475,0.137256974,,,,,
27,92,NT,DBA/2J,American,1,33.6,35.2875,70.1,32.475,0.13807398,,,,,
27,93,RE,DBA/2J,American,1,35,35.2875,70.1,32.475,0.13255102,,,,,
28,94,NT,DBA/2J,Mediterranean,1,37.8,35.025,130.8,31.85,0.12037037,,,,,
28,95,RE,DBA/2J,Mediterranean,1,30.8,35.025,130.8,31.85,0.147727273,,,,,
28,96,LE,DBA/2J,Mediterranean,1,33.1,35.025,130.8,31.85,0.137462236,,,,,
28,97,RLE,DBA/2J,Mediterranean,1,36.8,35.025,130.8,31.85,0.123641304,,,,,
29,98,NT,DBA/2J,Mediterranean,1,38.8,35.025,124,31.85,0.117268041,,,,,
29,99,RE,DBA/2J,Mediterranean,1,35,35.025,124,31.85,0.13,,,,,
29,100,LE,DBA/2J,Mediterranean,1,34,35.025,124,31.85,0.133823529,,,,,
29,101,RLE,DBA/2J,Mediterranean,1,33.9,35.025,124,31.85,0.134218289,,,,,
30,102,NT,DBA/2J,Vegetarian,1,35.5,34.3875,127.5,32.05,0.128973843,,,,,
30,103,RE,DBA/2J,Vegetarian,1,29.6,34.3875,127.5,32.05,0.154681467,,,,,
